id_product,id_category
108775,253
110065,306
111565,304
111565,302
111586,273
111593,304
111609,304
112679,252
114428,306
116379,254
118458,272
120129,273
123173,273
126589,72
129085,273
130035,532
141661,295
144993,304
145872,252
145872,254
146706,256
146721,73
146730,273
147339,256
148033,273
148033,302
150959,272
153115,306
156224,302
156224,-1
156227,304
156231,304
156231,273
156289,272
156610,272
158340,273
160442,302
162074,302
163734,254
164912,302
174057,295
176209,308
176550,196
176754,74
179123,273
179208,273
179393,302
179950,67
181160,87
181448,302
182909,273
183815,67
184121,298
184123,59
184583,286
186262,72
186264,73
186266,73
186267,72
186372,272
186595,302
187949,295
188183,57
189383,256
189616,273
189626,275
189634,273
189654,275
189691,252
189955,255
190021,302
190252,286
192460,265
192960,75
194037,273
194242,273
194270,253
194902,255
198518,307
198714,273
199119,274
200182,304
200761,253
201219,304
202017,265
203027,255
203595,259
204892,69
204892,75
205225,298
211143,297
212042,94
212629,265
212766,272
213690,73
213691,73
214844,72
215248,255
215303,81
215324,81
215337,255
215589,304
216081,245
216961,74
217207,295
217727,302
218354,253
218829,71
219075,272
220094,265
220365,81
224314,75
224337,71
224521,272
224521,273
224606,67
225286,252
225784,255
226011,72
226959,302
228257,304
233091,71
233672,252
234187,69
234421,304
234432,304
234622,254
235596,70
235732,297
237032,273
237222,254
237347,308
238197,254
240561,304
240670,255
240840,272
241412,273
241436,66
241486,272
241590,264
241602,264
242354,274
243613,273
243937,302
244267,252
244269,256
244853,308
245348,75
247072,295
249136,272
250099,304
250457,274
251510,304
252229,272
252298,272
253176,59
253448,306
254303,302
254457,265
254940,272
255396,245
256096,255
256151,272
256511,298
256513,59
257430,253
257667,255
258650,87
260736,255
261526,302
261606,253
261840,302
262277,272
264713,89
264984,254
265069,255
265071,255
265630,302
266168,304
266873,302
266875,302
268305,81
268450,253
269342,254
270375,81
270381,81
270382,81
272591,265
275362,274
276242,265
276540,297
277738,267
278038,273
278563,91
278811,286
280256,306
282832,262
283236,259
283532,306
283937,297
284985,254
285143,272
285602,256
286536,306
287645,304
288575,256
288825,304
288859,304
289597,83
289834,66
290022,69
290519,245
290675,262
291333,304
291338,304
291957,272
292453,70
292551,75
293244,304
293433,304
293510,304
294008,277
294008,255
294076,272
294237,69
294895,75
295873,71
296366,74
296375,72
296471,286
296476,305
297067,273
297067,304
297078,304
297078,273
297791,302
297796,274
297898,272
299668,272
299733,265
299768,71
299841,71
300024,272
300637,71
300696,71
300907,262
300908,262
301213,306
301227,302
301364,274
301517,74
301656,265
301668,304
301687,304
301901,245
302311,252
302334,67
304576,255
304692,302
304766,302
304778,302
304786,302
304946,272
305304,274
305305,272
305584,286
305775,304
305931,273
306307,255
306847,273
307239,286
307656,274
307847,304
307952,262
308154,256
308158,256
309434,305
309509,262
309864,272
310091,295
310365,80
311059,252
312058,256
312543,273
312829,80
312878,263
315352,265
315497,75
315509,80
315795,78
315987,75
316008,80
316085,257
316242,272
316441,254
316471,252
316553,265
316657,262
317055,253
317348,252
317812,275
318035,83
318066,75
318238,78
318914,272
318951,255
319811,267
319906,93
320524,80
320880,87
321249,302
321591,80
322017,532
322017,83
322322,75
323274,302
324375,78
324502,75
324946,304
324963,78
325027,306
325087,306
325542,305
325542,293
326885,272
327144,304
327310,275
327368,273
327821,273
328480,272
329052,298
331062,295
331072,87
331093,265
331474,272
332055,78
333159,272
333323,302
333353,78
334077,255
335037,286
335896,255
335991,495
336125,80
336881,272
337777,259
337991,67
338016,67
338400,286
339252,515
339252,76
340223,74
340546,252
341129,304
341186,304
341242,260
341452,306
341782,255
341909,253
341917,72
342034,80
342060,304
342345,295
342434,75
342840,78
342954,252
343973,273
344534,254
344625,76
344627,76
344905,286
344956,78
345815,256
345830,256
345922,80
346539,302
347182,67
347200,67
347975,256
347983,256
348168,272
348330,256
348442,254
348657,77
348870,255
348995,253
349080,304
349301,86
349669,67
350082,272
350135,272
350911,82
351098,80
351182,71
351332,252
351462,298
351484,59
351771,286
351914,286
351933,306
352811,272
354041,74
354246,255
354307,89
355062,78
355072,253
355307,253
355325,254
355421,265
355569,253
356004,252
356174,272
356289,275
356438,78
356693,76
357130,255
357751,70
357792,81
358254,274
358383,69
358483,252
358753,77
359043,274
359504,296
359804,75
359909,80
360295,66
360859,264
360950,81
361401,254
361467,254
361531,81
362219,304
362931,254
362997,253
364297,272
364409,78
365025,307
365058,274
365102,78
365439,302
365592,94
366686,255
366859,274
367194,71
367372,273
367376,67
368038,72
368300,274
368505,263
368603,297
368979,273
369423,81
369796,81
370594,81
370737,81
370868,296
372008,253
372576,286
372628,306
372860,302
373493,302
373506,302
373698,295
374762,265
375248,273
375585,272
375849,254
375917,509
376172,81
377239,272
377266,253
377277,253
377289,57
377436,78
378124,257
378135,252
378447,252
378719,70
379360,273
379780,255
379963,273
380193,253
380609,255
380894,66
381038,308
381187,255
382127,308
382468,66
383152,306
383569,265
384263,272
384482,272
384654,265
384851,274
386399,295
386463,70
386678,66
386681,66
386695,66
386859,255
387348,253
387426,274
387444,66
387843,308
388573,67
388916,67
389236,262
389388,78
389479,293
389892,78
390469,306
390512,75
390531,75
391032,69
391598,78
391750,272
391772,272
392126,66
392168,274
392203,66
392220,82
392269,253
392820,68
392933,306
392938,259
393321,304
393447,262
393750,252
393772,272
393993,262
394292,81
394522,259
394798,259
394803,253
395127,259
395575,286
395619,272
395658,272
395730,257
395730,254
395864,286
396135,274
396690,68
397068,272
397376,67
397688,274
397807,272
398074,255
398089,274
398127,274
398559,255
398814,253
398829,274
398863,274
398947,81
398959,81
399036,252
399061,262
399087,272
399136,272
399201,272
399223,272
399256,272
399589,252
400246,272
400285,272
400296,272
400319,272
400342,272
400456,256
400489,272
400901,302
401020,245
401044,265
401136,262
401729,87
401902,262
402065,255
402361,254
402382,80
402389,75
402595,71
403392,272
403421,308
403448,253
403479,255
403490,255
403579,255
403844,272
403994,274
404383,308
404441,78
404609,258
404864,272
405310,81
405586,252
405635,262
405636,254
405676,306
405887,252
406155,82
406160,262
406181,265
406724,81
406979,265
406987,265
407031,258
407040,254
407147,254
407354,262
407354,308
407653,70
407663,70
407806,68
408045,66
408104,259
408554,302
408569,302
408571,302
408575,302
408647,302
408649,302
408664,302
408875,253
408884,68
409683,253
409730,253
409731,255
410024,262
410291,271
410424,286
410549,297
410624,255
411013,252
411413,255
411499,89
411565,81
411569,82
411758,272
411974,94
412031,272
412043,80
412333,306
412370,304
412370,273
412579,80
412664,80
412707,272
412869,71
412964,286
413029,272
413599,306
413707,273
413763,71
413911,252
413965,75
414066,252
414079,274
414102,71
414577,259
416089,68
416157,272
416175,272
416387,67
416511,272
416905,75
416911,75
416961,272
417088,262
417427,85
417687,306
417773,263
417855,67
417951,304
418545,256
418662,75
419634,77
420049,87
420264,82
420378,66
420387,306
420396,283
420963,297
421387,255
421941,255
422106,308
422393,297
422461,286
423103,245
423112,275
423539,496
423539,161
423900,302
424022,255
424254,265
424432,302
424468,272
424470,254
424511,252
425173,69
425217,80
425217,78
425218,80
425242,297
425526,258
425529,49
425639,252
425683,69
425978,76
426013,272
426019,268
426199,286
426541,273
426609,255
426674,286
427114,295
427159,272
427558,264
427948,295
428071,254
428291,75
428454,66
429313,306
429314,286
429322,293
430137,272
430157,252
430596,82
430694,272
430757,275
431034,273
431570,80
432566,304
432984,304
433252,265
433275,295
433414,255
433414,254
433444,255
433774,70
433796,252
434080,302
434429,272
434773,262
436083,306
436261,273
436570,66
436577,73
436853,304
437129,265
437150,262
437582,77
437668,89
437783,308
438147,81
438333,252
438460,77
438499,252
438702,94
438953,283
439285,272
439646,306
439793,255
439921,302
440144,255
440811,245
441386,272
441536,255
442344,276
442345,274
442633,254
442786,274
442915,272
442957,306
442992,265
443000,306
443078,259
443262,253
443696,308
443860,257
444325,265
444404,264
445358,258
445400,297
445419,255
445865,268
445901,252
446147,255
446155,66
446224,245
446367,84
446847,272
447201,302
447264,302
447596,81
447664,306
447681,262
447692,252
447694,272
447795,94
448262,255
448509,272
448515,272
448831,59
449099,274
449123,255
449175,299
449192,57
449263,255
449555,272
449570,255
449648,57
449744,306
449897,272
450056,273
450333,76
450604,293
450662,268
450780,252
450932,272
451019,259
451209,70
451229,272
451243,272
451271,272
451286,264
451290,264
451294,264
451380,272
451402,272
451541,255
451556,254
451599,80
451650,254
451704,66
451720,75
451744,66
451774,66
452486,286
452511,77
452516,272
452616,307
452618,304
452717,252
452818,302
452851,302
452898,274
453016,274
453026,255
453028,308
453065,302
453134,297
453239,272
453258,262
453272,59
453309,59
453345,67
453358,67
453445,59
453453,59
453491,275
453585,67
453741,94
453745,265
453765,245
453828,87
453831,94
453988,253
454008,265
454128,297
454143,265
454196,255
454199,262
454544,272
454602,252
454804,272
455014,302
455491,274
455504,265
455828,275
455832,283
455925,254
456007,267
456011,274
456032,274
456163,308
456245,260
456634,255
456641,286
456834,94
457039,254
457059,254
457079,265
457135,262
457292,265
457314,265
457322,60
457412,259
457466,304
457491,272
457618,259
457722,274
457755,60
457765,302
457892,273
458032,87
458064,272
458083,67
458087,254
458239,265
458393,253
458428,272
458543,298
458851,259
458882,259
458924,254
458925,254
459144,272
459149,254
459307,76
459428,262
459617,265
459756,94
460302,245
460363,94
460891,265
461327,252
461414,144
462086,297
462128,295
462162,272
462435,256
463086,265
463117,69
463285,258
463290,259
463536,306
463601,255
463670,265
463970,286
464277,286
464297,286
464332,252
464363,255
464454,275
464541,265
464566,286
464610,67
464679,306
464695,253
464848,293
464908,286
464927,286
465051,265
465572,270
465619,254
465655,286
465816,79
465862,77
466006,78
466381,306
466579,272
466595,272
466599,272
466666,256
466852,272
466891,274
466917,259
466948,255
466987,259
467174,298
467191,262
467297,272
467302,265
467557,275
467738,67
468013,245
468255,265
468345,257
468480,274
468591,297
468666,59
468695,274
468977,66
469001,80
469021,80
469039,86
469137,254
469271,80
469562,272
469649,265
469658,286
469682,245
470111,258
470167,80
470361,76
470478,272
470636,267
470766,265
470789,286
470985,94
471074,286
471077,286
471456,258
471566,94
471641,286
471714,274
472064,256
472065,253
472243,69
472320,255
472341,265
472447,253
472447,254
472755,71
472844,81
473034,256
473497,66
473507,66
473954,286
473954,-1
474061,253
474088,272
474123,253
474138,305
474461,274
474471,274
474915,66
475069,69
475120,77
475179,156
475233,78
475260,274
475762,66
475791,91
475827,89
475973,286
475997,89
476096,274
476122,274
476315,257
476366,274
476583,255
476959,265
476961,252
477107,286
477163,308
477507,265
477515,302
477576,274
477834,274
477877,262
477893,302
477904,265
477909,258
477970,275
478004,274
478022,91
478279,306
478298,74
478426,253
478473,286
478549,272
478566,273
478641,70
478646,77
478675,265
478751,265
478818,272
478943,87
478944,87
478972,274
478992,274
479025,74
479095,274
479167,306
479173,286
479227,255
479232,258
479294,255
479372,306
479453,89
479483,286
479549,265
479604,252
479750,274
479823,272
480059,302
480076,302
480093,-1
480121,302
480304,255
480405,252
480516,274
480574,272
480576,273
480579,245
480581,252
480582,252
480627,273
480812,69
480920,306
481093,267
481110,306
481111,306
481145,255
481147,87
481148,265
481151,267
481245,306
481347,81
481420,272
481455,245
481529,272
481540,78
481550,255
481696,67
481754,308
481771,255
481777,81
481781,81
481797,302
481912,286
482031,307
482130,265
482160,272
482176,272
482178,272
482192,272
482194,272
482199,272
482207,258
482208,259
482209,258
482211,254
482216,259
482217,254
482221,258
482258,274
482263,274
482638,91
482643,91
482660,66
482667,91
482733,86
482818,306
483011,275
483064,274
483082,91
483093,286
483101,272
483283,307
483290,252
483299,259
483373,255
483387,305
483597,95
483633,265
483645,265
483731,275
483737,275
483749,308
484104,297
484108,308
484126,297
484134,265
484205,262
484207,265
484212,94
484260,274
484262,274
484398,273
484406,254
484538,272
484644,273
484647,273
484760,272
